image,class
dataset/non/iArial_31 size95.jpg,non
dataset/non/iArial_31 size96.jpg,non
dataset/non/iArial_32 size90.jpg,non
dataset/non/iArial_32 size91.jpg,non
dataset/non/iArial_32 size92.jpg,non
dataset/non/iArial_32 size93.jpg,non
dataset/non/iArial_33 size105.jpg,non
dataset/non/iArial_33 size106.jpg,non
dataset/non/iArial_33 size76.jpg,non
dataset/non/iArial_33 size77.jpg,non
dataset/non/iArial_34 size100.jpg,non
dataset/non/iArial_34 size101.jpg,non
dataset/non/iArial_34 size102.jpg,non
dataset/non/iArial_34 size99.jpg,non
dataset/non/iArial_35 size100.jpg,non
dataset/non/iArial_35 size101.jpg,non
dataset/non/iArial_35 size102.jpg,non
dataset/non/iArial_35 size99.jpg,non
dataset/non/iArial_36 size81.jpg,non
dataset/non/iArial_36 size82.jpg,non
dataset/non/iArial_36 size83.jpg,non
dataset/non/iArial_36 size84.jpg,non
dataset/non/iArial_37 size79.jpg,non
dataset/non/iArial_37 size80.jpg,non
dataset/non/iArial_37 size81.jpg,non
dataset/non/iArial_37 size82.jpg,non
dataset/non/iArial_38 size106.jpg,non
dataset/non/iArial_38 size107.jpg,non
dataset/non/iArial_38 size108.jpg,non
dataset/non/iArial_38 size81.jpg,non
dataset/non/iArial_39 size100.jpg,non
dataset/non/iArial_39 size101.jpg,non
dataset/non/iArial_39 size98.jpg,non
dataset/non/iArial_39 size99.jpg,non
dataset/non/iArial_40 size93.jpg,non
dataset/non/iArial_40 size94.jpg,non
dataset/non/iArial_40 size95.jpg,non
dataset/non/iArial_40 size96.jpg,non
dataset/non/iCalibri_12 size109.jpg,non
dataset/non/iCalibri_12 size110.jpg,non
dataset/non/iCalibri_12 size111.jpg,non
dataset/non/iCalibri_13 size100.jpg,non
dataset/non/iCalibri_13 size101.jpg,non
dataset/non/iCalibri_13 size102.jpg,non
dataset/non/iCalibri_13 size99.jpg,non
dataset/non/iCalibri_14 size93.jpg,non
dataset/non/iCalibri_14 size94.jpg,non
dataset/non/iCalibri_14 size95.jpg,non
dataset/non/iCalibri_14 size96.jpg,non
dataset/non/iCalibri_15 size80.jpg,non
dataset/non/iCalibri_15 size81.jpg,non
dataset/non/iCalibri_15 size82.jpg,non
dataset/non/iCalibri_15 size83.jpg,non
dataset/non/iCalibri_16 size71.jpg,non
dataset/non/iCalibri_16 size72.jpg,non
dataset/non/iCalibri_16 size73.jpg,non
dataset/non/iCalibri_16 size74.jpg,non
dataset/non/iCalibri_17 size112.jpg,non
dataset/non/iCalibri_17 size113.jpg,non
dataset/non/iCalibri_17 size114.jpg,non
dataset/non/iCalibri_17 size115.jpg,non
dataset/non/iCalibri_18 size106.jpg,non
dataset/non/iCalibri_18 size107.jpg,non
dataset/non/iCalibri_18 size108.jpg,non
dataset/non/iCalibri_18 size109.jpg,non
dataset/non/iCalibri_19 size100.jpg,non
dataset/non/iCalibri_19 size101.jpg,non
dataset/non/iCalibri_19 size102.jpg,non
dataset/non/iCalibri_19 size103.jpg,non
dataset/non/iCalibri_20 size90.jpg,non
dataset/non/iCalibri_20 size91.jpg,non
dataset/non/iCalibri_20 size92.jpg,non
dataset/non/iCalibri_20 size93.jpg,non
dataset/non/iCalibri_21 size79.jpg,non
dataset/non/iCalibri_21 size80.jpg,non
dataset/non/iCalibri_21 size81.jpg,non
dataset/non/iCalibri_21 size82.jpg,non
dataset/non/iCalibri_22 size116.jpg,non
dataset/non/iCalibri_22 size117.jpg,non
dataset/non/iCalibri_22 size73.jpg,non
dataset/non/iCalibri_22 size74.jpg,non
dataset/non/iCalibri_23 size112.jpg,non
dataset/non/iCalibri_23 size113.jpg,non
dataset/non/iCalibri_23 size114.jpg,non
dataset/non/iCalibri_23 size115.jpg,non
dataset/non/iCalibri_24 size107.jpg,non
dataset/non/iCalibri_24 size108.jpg,non
dataset/non/iCalibri_24 size109.jpg,non
dataset/non/iCalibri_24 size110.jpg,non
dataset/non/iCalibri_25 size100.jpg,non
dataset/non/iCalibri_25 size97.jpg,non
dataset/non/iCalibri_25 size98.jpg,non
dataset/non/iCalibri_25 size99.jpg,non
dataset/non/iCalibri_26 size86.jpg,non
dataset/non/iCalibri_26 size87.jpg,non
dataset/non/iCalibri_26 size88.jpg,non
dataset/non/iCalibri_26 size89.jpg,non
dataset/non/iCalibri_27 size80.jpg,non
dataset/non/iCalibri_27 size81.jpg,non
dataset/non/iCalibri_27 size82.jpg,non
dataset/non/iCalibri_27 size83.jpg,non
dataset/non/iCalibri_28 size115.jpg,non
dataset/non/iCalibri_28 size116.jpg,non
dataset/non/iCalibri_28 size117.jpg,non
dataset/non/iCalibri_28 size78.jpg,non
dataset/non/iCalibri_29 size107.jpg,non
dataset/non/iCalibri_29 size108.jpg,non
dataset/non/iCalibri_29 size109.jpg,non
dataset/non/iCalibri_29 size110.jpg,non
dataset/non/iCalibri_30 size101.jpg,non
dataset/non/iCalibri_30 size102.jpg,non
dataset/non/iCalibri_30 size103.jpg,non
dataset/non/iCalibri_30 size104.jpg,non
dataset/non/iCalibri_31 size92.jpg,non
dataset/non/iCalibri_31 size93.jpg,non
dataset/non/iCalibri_31 size94.jpg,non
dataset/non/iCalibri_31 size95.jpg,non
dataset/non/iCalibri_32 size85.jpg,non
dataset/non/iCalibri_32 size86.jpg,non
dataset/non/iCalibri_32 size87.jpg,non
dataset/non/iCalibri_32 size88.jpg,non
dataset/non/iCalibri_33 size114.jpg,non
dataset/non/iCalibri_33 size115.jpg,non
dataset/non/iCalibri_33 size116.jpg,non
dataset/non/iCalibri_33 size81.jpg,non
dataset/non/iCalibri_34 size110.jpg,non
dataset/non/iCalibri_34 size111.jpg,non
dataset/non/iCalibri_34 size112.jpg,non
dataset/non/iCalibri_34 size113.jpg,non
dataset/non/iCalibri_35 size100.jpg,non
dataset/non/iCalibri_35 size101.jpg,non
dataset/non/iCalibri_35 size98.jpg,non
dataset/non/iCalibri_35 size99.jpg,non
dataset/non/iCalibri_36 size93.jpg,non
dataset/non/iCalibri_36 size94.jpg,non
dataset/non/iCalibri_36 size95.jpg,non
dataset/non/iCalibri_36 size96.jpg,non
dataset/non/iCalibri_37 size89.jpg,non
dataset/non/iCalibri_37 size90.jpg,non
dataset/non/iCalibri_37 size91.jpg,non
dataset/non/iCalibri_37 size92.jpg,non
dataset/non/iCalibri_38 size86.jpg,non
dataset/non/iCalibri_38 size87.jpg,non
dataset/non/iCalibri_38 size88.jpg,non
dataset/non/iCalibri_38 size89.jpg,non
dataset/non/iCalibri_39 size112.jpg,non
dataset/non/iCalibri_39 size113.jpg,non
dataset/non/iCalibri_39 size114.jpg,non
dataset/non/iCalibri_39 size83.jpg,non
dataset/non/iCalibri_40 size104.jpg,non
dataset/non/iCalibri_40 size105.jpg,non
dataset/non/iCalibri_40 size106.jpg,non
dataset/non/iCalibri_40 size107.jpg,non
dataset/non/z100Typesetting_16 size.jpg,non
dataset/non/z100Typesetting_30 size.jpg,non
dataset/non/z100Typesetting_36 size.jpg,non
dataset/non/z100Typesetting_37 size.jpg,non
dataset/non/z100Unicode_18 size.jpg,non
dataset/non/z100Unicode_22 size.jpg,non
dataset/non/z100Unicode_26 size.jpg,non
dataset/non/z100Unicode_30 size.jpg,non
dataset/non/z101Typesetting_16 size.jpg,non
dataset/non/z101Typesetting_30 size.jpg,non
dataset/non/z101Typesetting_36 size.jpg,non
dataset/non/z101Typesetting_37 size.jpg,non
dataset/non/z101Unicode_18 size.jpg,non
dataset/non/z101Unicode_22 size.jpg,non
dataset/non/z101Unicode_30 size.jpg,non
dataset/non/z102Typesetting_16 size.jpg,non
dataset/non/z102Typesetting_30 size.jpg,non
dataset/non/z102Typesetting_36 size.jpg,non
dataset/non/z102Typesetting_37 size.jpg,non
dataset/non/z102Unicode_30 size.jpg,non
dataset/non/z103iAndalus_20 size.jpg,non
dataset/non/z103Typesetting_15 size.jpg,non
dataset/non/z103Typesetting_23 size.jpg,non
dataset/non/z104iAndalus_20 size.jpg,non
dataset/non/z104iAndalus_31 size.jpg,non
dataset/non/z104Typesetting_23 size.jpg,non
dataset/non/z104Typesetting_29 size.jpg,non
dataset/non/z105iAndalus_20 size.jpg,non
dataset/non/z105iAndalus_25 size.jpg,non
dataset/non/z105iAndalus_31 size.jpg,non
dataset/non/z105Typesetting_15 size.jpg,non
dataset/non/z105Typesetting_22 size.jpg,non
dataset/non/z105Typesetting_23 size.jpg,non
dataset/non/z105Typesetting_29 size.jpg,non
dataset/non/z105Unicode_29 size.jpg,non
dataset/non/z106iAndalus_19 size.jpg,non
dataset/non/z106iAndalus_20 size.jpg,non
dataset/non/z106iAndalus_25 size.jpg,non
dataset/non/z106iAndalus_31 size.jpg,non
dataset/non/z106Typesetting_15 size.jpg,non
dataset/non/z106Typesetting_22 size.jpg,non
dataset/non/z106Typesetting_23 size.jpg,non
dataset/non/z106Typesetting_29 size.jpg,non
dataset/non/z106Unicode_29 size.jpg,non
dataset/non/z107iAndalus_19 size.jpg,non
dataset/non/z107iAndalus_25 size.jpg,non
dataset/non/z107iAndalus_31 size.jpg,non
dataset/non/z107iAndalus_36 size.jpg,non
dataset/non/z107Typesetting_22 size.jpg,non
dataset/non/z107Typesetting_29 size.jpg,non
dataset/non/z107Unicode_29 size.jpg,non
dataset/non/z108iAndalus_19 size.jpg,non
dataset/non/z108iAndalus_25 size.jpg,non
dataset/non/z108iAndalus_36 size.jpg,non
dataset/non/z108Typesetting_22 size.jpg,non
dataset/non/z108Unicode_21 size.jpg,non
dataset/non/z108Unicode_29 size.jpg,non
dataset/non/z109iAndalus_19 size.jpg,non
dataset/non/z109iAndalus_36 size.jpg,non
dataset/non/z109Typesetting_35 size.jpg,non
dataset/non/z109Unicode_13 size.jpg,non
dataset/non/z109Unicode_21 size.jpg,non
dataset/non/z110iAndalus_36 size.jpg,non
dataset/non/z110Typesetting_28 size.jpg,non
dataset/non/z110Typesetting_35 size.jpg,non
dataset/non/z110Unicode_13 size.jpg,non
dataset/non/z110Unicode_17 size.jpg,non
dataset/non/z110Unicode_21 size.jpg,non
dataset/non/z110Unicode_25 size.jpg,non
dataset/non/z111iAndalus_24 size.jpg,non
dataset/non/z111iAndalus_35 size.jpg,non
dataset/non/z111Typesetting_21 size.jpg,non
dataset/non/z111Typesetting_28 size.jpg,non
dataset/non/z111Unicode_13 size.jpg,non
dataset/non/z111Unicode_17 size.jpg,non
dataset/non/z111Unicode_21 size.jpg,non
dataset/non/z111Unicode_25 size.jpg,non
dataset/non/z112iAndalus_24 size.jpg,non
dataset/non/z112iAndalus_35 size.jpg,non
dataset/non/z112Typesetting_14 size.jpg,non
dataset/non/z112Typesetting_21 size.jpg,non
dataset/non/z112Typesetting_28 size.jpg,non
dataset/non/z112Typesetting_35 size.jpg,non
dataset/non/z112Unicode_13 size.jpg,non
dataset/non/z112Unicode_17 size.jpg,non
dataset/non/z112Unicode_25 size.jpg,non
dataset/non/z113iAndalus_18 size.jpg,non
dataset/non/z113iAndalus_24 size.jpg,non
dataset/non/z113iAndalus_35 size.jpg,non
dataset/non/z113Typesetting_14 size.jpg,non
dataset/non/z113Typesetting_21 size.jpg,non
dataset/non/z113Typesetting_28 size.jpg,non
dataset/non/z113Unicode_17 size.jpg,non
dataset/non/z113Unicode_25 size.jpg,non
dataset/non/z113Unicode_28 size.jpg,non
dataset/non/z114iAndalus_18 size.jpg,non
dataset/non/z114iAndalus_24 size.jpg,non
dataset/non/z114iAndalus_35 size.jpg,non
dataset/non/z114Typesetting_21 size.jpg,non
dataset/non/z114Typesetting_34 size.jpg,non
dataset/non/z114Typesetting_40 size.jpg,non
dataset/non/z115iAndalus_18 size.jpg,non
dataset/non/z115Typesetting_14 size.jpg,non
dataset/non/z115Typesetting_27 size.jpg,non
dataset/non/z115Typesetting_34 size.jpg,non
dataset/non/z115Typesetting_40 size.jpg,non
dataset/non/z116iAndalus_18 size.jpg,non
dataset/non/z116iAndalus_29 size.jpg,non
dataset/non/z116Typesetting_27 size.jpg,non
dataset/non/z116Typesetting_34 size.jpg,non
dataset/non/z116Typesetting_40 size.jpg,non
dataset/non/z116Unicode_16 size.jpg,non
dataset/non/z116Unicode_20 size.jpg,non
dataset/non/z116Unicode_24 size.jpg,non
dataset/non/z117iAndalus_23 size.jpg,non
dataset/non/z117iAndalus_29 size.jpg,non
dataset/non/z117Typesetting_20 size.jpg,non
dataset/non/z117Typesetting_27 size.jpg,non
dataset/non/z117Typesetting_34 size.jpg,non
dataset/non/z117Unicode_14 size.jpg,non
dataset/non/z117Unicode_16 size.jpg,non
dataset/non/z117Unicode_20 size.jpg,non
dataset/non/z117Unicode_24 size.jpg,non
dataset/non/z118Unicode_14 size.jpg,non
dataset/non/z119Unicode_14 size.jpg,non
dataset/non/z120Unicode_14 size.jpg,non
dataset/non/z128Typesetting_12 size.jpg,non
dataset/non/z54Typesetting_13 size.jpg,non
dataset/non/z55Typesetting_13 size.jpg,non
dataset/non/z56Typesetting_13 size.jpg,non
dataset/non/z57Typesetting_13 size.jpg,non
dataset/non/z66Typesetting_20 size.jpg,non
dataset/non/z67iAndalus_17 size.jpg,non
dataset/non/z67Typesetting_20 size.jpg,non
dataset/non/z68iAndalus_17 size.jpg,non
dataset/non/z68Typesetting_20 size.jpg,non
dataset/non/z69iAndalus_17 size.jpg,non
dataset/non/z70iAndalus_17 size.jpg,non
dataset/non/z72Typesetting_27 size.jpg,non
dataset/non/z73Typesetting_19 size.jpg,non
dataset/non/z74Typesetting_19 size.jpg,non
dataset/non/z75iAndalus_23 size.jpg,non
dataset/non/z75Typesetting_12 size.jpg,non
dataset/non/z75Typesetting_19 size.jpg,non
dataset/non/z75Unicode_16 size.jpg,non
dataset/non/z76iAndalus_23 size.jpg,non
dataset/non/z76Typesetting_12 size.jpg,non
dataset/non/z76Typesetting_19 size.jpg,non
dataset/non/z76Unicode_16 size.jpg,non
dataset/non/z77iAndalus_23 size.jpg,non
dataset/non/z79iAndalus_29 size.jpg,non
dataset/non/z79Unicode_20 size.jpg,non
dataset/non/z80iAndalus_16 size.jpg,non
dataset/non/z80iAndalus_29 size.jpg,non
dataset/non/z80Unicode_20 size.jpg,non
dataset/non/z81iAndalus_16 size.jpg,non
dataset/non/z81iAndalus_22 size.jpg,non
dataset/non/z81Typesetting_40 size.jpg,non
dataset/non/z82iAndalus_16 size.jpg,non
dataset/non/z82iAndalus_22 size.jpg,non
dataset/non/z82Typesetting_33 size.jpg,non
dataset/non/z83iAndalus_16 size.jpg,non
dataset/non/z83iAndalus_22 size.jpg,non
dataset/non/z83Typesetting_18 size.jpg,non
dataset/non/z83Typesetting_33 size.jpg,non
dataset/non/z83Typesetting_39 size.jpg,non
dataset/non/z83Unicode_24 size.jpg,non
dataset/non/z84iAndalus_22 size.jpg,non
dataset/non/z84iAndalus_28 size.jpg,non
dataset/non/z84Typesetting_18 size.jpg,non
dataset/non/z84Typesetting_33 size.jpg,non
dataset/non/z84Typesetting_39 size.jpg,non
dataset/non/z84Unicode_15 size.jpg,non
dataset/non/z84Unicode_24 size.jpg,non
dataset/non/z85iAndalus_28 size.jpg,non
dataset/non/z85Typesetting_18 size.jpg,non
dataset/non/z85Typesetting_25 size.jpg,non
dataset/non/z85Typesetting_26 size.jpg,non
dataset/non/z85Typesetting_32 size.jpg,non
dataset/non/z85Typesetting_33 size.jpg,non
dataset/non/z85Typesetting_39 size.jpg,non
dataset/non/z85Unicode_15 size.jpg,non
dataset/non/z85Unicode_28 size.jpg,non
dataset/non/z86iAndalus_28 size.jpg,non
dataset/non/z86iAndalus_34 size.jpg,non
dataset/non/z86Typesetting_18 size.jpg,non
dataset/non/z86Typesetting_25 size.jpg,non
dataset/non/z86Typesetting_26 size.jpg,non
dataset/non/z86Typesetting_32 size.jpg,non
dataset/non/z86Typesetting_39 size.jpg,non
dataset/non/z86Unicode_15 size.jpg,non
dataset/non/z86Unicode_27 size.jpg,non
dataset/non/z86Unicode_28 size.jpg,non
dataset/non/z87iAndalus_28 size.jpg,non
dataset/non/z87iAndalus_34 size.jpg,non
dataset/non/z87Typesetting_25 size.jpg,non
dataset/non/z87Typesetting_26 size.jpg,non
dataset/non/z87Typesetting_32 size.jpg,non
dataset/non/z87Unicode_15 size.jpg,non
dataset/non/z87Unicode_27 size.jpg,non
dataset/non/z88iAndalus_34 size.jpg,non
dataset/non/z88Typesetting_25 size.jpg,non
dataset/non/z88Typesetting_26 size.jpg,non
dataset/non/z88Typesetting_32 size.jpg,non
dataset/non/z88Unicode_19 size.jpg,non
dataset/non/z88Unicode_23 size.jpg,non
dataset/non/z88Unicode_27 size.jpg,non
dataset/non/z89iAndalus_21 size.jpg,non
dataset/non/z89iAndalus_27 size.jpg,non
dataset/non/z89iAndalus_33 size.jpg,non
dataset/non/z89iAndalus_34 size.jpg,non
dataset/non/z89Typesetting_38 size.jpg,non
dataset/non/z89Unicode_19 size.jpg,non
dataset/non/z89Unicode_23 size.jpg,non
dataset/non/z89Unicode_27 size.jpg,non
dataset/non/z90iAndalus_21 size.jpg,non
dataset/non/z90iAndalus_27 size.jpg,non
dataset/non/z90iAndalus_33 size.jpg,non
dataset/non/z90Typesetting_38 size.jpg,non
dataset/non/z90Unicode_19 size.jpg,non
dataset/non/z90Unicode_23 size.jpg,non
dataset/non/z91iAndalus_21 size.jpg,non
dataset/non/z91iAndalus_27 size.jpg,non
dataset/non/z91iAndalus_33 size.jpg,non
dataset/non/z91Typesetting_38 size.jpg,non
dataset/non/z91Unicode_19 size.jpg,non
dataset/non/z91Unicode_23 size.jpg,non
dataset/non/z92iAndalus_21 size.jpg,non
dataset/non/z92iAndalus_27 size.jpg,non
dataset/non/z92iAndalus_33 size.jpg,non
dataset/non/z92Typesetting_31 size.jpg,non
dataset/non/z92Typesetting_38 size.jpg,non
dataset/non/z93Typesetting_31 size.jpg,non
dataset/non/z94iAndalus_15 size.jpg,non
dataset/non/z94Typesetting_17 size.jpg,non
dataset/non/z94Typesetting_31 size.jpg,non
dataset/non/z95iAndalus_15 size.jpg,non
dataset/non/z95Typesetting_17 size.jpg,non
dataset/non/z95Typesetting_24 size.jpg,non
dataset/non/z95Typesetting_31 size.jpg,non
dataset/non/z96iAndalus_15 size.jpg,non
dataset/non/z96iAndalus_26 size.jpg,non
dataset/non/z96iAndalus_32 size.jpg,non
dataset/non/z96Typesetting_17 size.jpg,non
dataset/non/z96Typesetting_24 size.jpg,non
dataset/non/z97iAndalus_15 size.jpg,non
dataset/non/z97iAndalus_26 size.jpg,non
dataset/non/z97iAndalus_32 size.jpg,non
dataset/non/z97Typesetting_17 size.jpg,non
dataset/non/z97Typesetting_24 size.jpg,non
dataset/non/z97Unicode_26 size.jpg,non
dataset/non/z98iAndalus_26 size.jpg,non
dataset/non/z98iAndalus_32 size.jpg,non
dataset/non/z98Typesetting_24 size.jpg,non
dataset/non/z98Unicode_18 size.jpg,non
dataset/non/z98Unicode_22 size.jpg,non
dataset/non/z98Unicode_26 size.jpg,non
dataset/non/z99iAndalus_26 size.jpg,non
dataset/non/z99iAndalus_32 size.jpg,non
dataset/non/z99Typesetting_16 size.jpg,non
dataset/non/z99Typesetting_30 size.jpg,non
dataset/non/z99Typesetting_36 size.jpg,non
dataset/non/z99Typesetting_37 size.jpg,non
dataset/non/z99Unicode_18 size.jpg,non
dataset/non/z99Unicode_22 size.jpg,non
dataset/non/z99Unicode_26 size.jpg,non
dataset/non/z99Unicode_30 size.jpg,non
dataset/qaf/iAndalus_30 size86.jpg,qaf
dataset/qaf/iAndalus_30 size87.jpg,qaf
dataset/qaf/iAndalus_30 size88.jpg,qaf
dataset/qaf/iAndalus_30 size89.jpg,qaf
dataset/qaf/iAndalus_37 size81.jpg,qaf
dataset/qaf/iAndalus_37 size82.jpg,qaf
dataset/qaf/iAndalus_37 size83.jpg,qaf
dataset/qaf/iAndalus_37 size84.jpg,qaf
dataset/qaf/iAndalus_38 size80.jpg,qaf
dataset/qaf/iAndalus_38 size81.jpg,qaf
dataset/qaf/iAndalus_38 size82.jpg,qaf
dataset/qaf/iAndalus_38 size83.jpg,qaf
dataset/qaf/iAndalus_39 size75.jpg,qaf
dataset/qaf/iAndalus_39 size76.jpg,qaf
dataset/qaf/iAndalus_39 size77.jpg,qaf
dataset/qaf/iAndalus_39 size78.jpg,qaf
dataset/qaf/iArial_12 size107.jpg,qaf
dataset/qaf/iArial_12 size108.jpg,qaf
dataset/qaf/iArial_12 size109.jpg,qaf
dataset/qaf/iArial_12 size110.jpg,qaf
dataset/qaf/iArial_13 size100.jpg,qaf
dataset/qaf/iArial_13 size97.jpg,qaf
dataset/qaf/iArial_13 size98.jpg,qaf
dataset/qaf/iArial_13 size99.jpg,qaf
dataset/qaf/iArial_14 size83.jpg,qaf
dataset/qaf/iArial_14 size84.jpg,qaf
dataset/qaf/iArial_14 size85.jpg,qaf
dataset/qaf/iArial_14 size86.jpg,qaf
dataset/qaf/iArial_15 size72.jpg,qaf
dataset/qaf/iArial_15 size73.jpg,qaf
dataset/qaf/iArial_15 size74.jpg,qaf
dataset/qaf/iArial_15 size75.jpg,qaf
dataset/qaf/iArial_16 size62.jpg,qaf
dataset/qaf/iArial_16 size63.jpg,qaf
dataset/qaf/iArial_16 size64.jpg,qaf
dataset/qaf/iArial_16 size65.jpg,qaf
dataset/qaf/iArial_17 size106.jpg,qaf
dataset/qaf/iArial_17 size107.jpg,qaf
dataset/qaf/iArial_17 size108.jpg,qaf
dataset/qaf/iArial_17 size109.jpg,qaf
dataset/qaf/iArial_18 size96.jpg,qaf
dataset/qaf/iArial_18 size97.jpg,qaf
dataset/qaf/iArial_18 size98.jpg,qaf
dataset/qaf/iArial_18 size99.jpg,qaf
dataset/qaf/iArial_19 size87.jpg,qaf
dataset/qaf/iArial_19 size88.jpg,qaf
dataset/qaf/iArial_19 size89.jpg,qaf
dataset/qaf/iArial_19 size90.jpg,qaf
dataset/qaf/iArial_20 size76.jpg,qaf
dataset/qaf/iArial_20 size77.jpg,qaf
dataset/qaf/iArial_20 size78.jpg,qaf
dataset/qaf/iArial_20 size79.jpg,qaf
dataset/qaf/iArial_21 size68.jpg,qaf
dataset/qaf/iArial_21 size69.jpg,qaf
dataset/qaf/iArial_21 size70.jpg,qaf
dataset/qaf/iArial_21 size71.jpg,qaf
dataset/qaf/iArial_22 size106.jpg,qaf
dataset/qaf/iArial_22 size107.jpg,qaf
dataset/qaf/iArial_22 size63.jpg,qaf
dataset/qaf/iArial_22 size64.jpg,qaf
dataset/qaf/iArial_23 size96.jpg,qaf
dataset/qaf/iArial_23 size97.jpg,qaf
dataset/qaf/iArial_23 size98.jpg,qaf
dataset/qaf/iArial_23 size99.jpg,qaf
dataset/qaf/iArial_24 size91.jpg,qaf
dataset/qaf/iArial_24 size92.jpg,qaf
dataset/qaf/iArial_24 size93.jpg,qaf
dataset/qaf/iArial_24 size94.jpg,qaf
dataset/qaf/iArial_25 size81.jpg,qaf
dataset/qaf/iArial_25 size82.jpg,qaf
dataset/qaf/iArial_25 size83.jpg,qaf
dataset/qaf/iArial_25 size84.jpg,qaf
dataset/qaf/iArial_26 size73.jpg,qaf
dataset/qaf/iArial_26 size74.jpg,qaf
dataset/qaf/iArial_26 size75.jpg,qaf
dataset/qaf/iArial_26 size76.jpg,qaf
dataset/qaf/iArial_27 size102.jpg,qaf
dataset/qaf/iArial_27 size67.jpg,qaf
dataset/qaf/iArial_27 size68.jpg,qaf
dataset/qaf/iArial_27 size69.jpg,qaf
dataset/qaf/iArial_28 size94.jpg,qaf
dataset/qaf/iArial_28 size95.jpg,qaf
dataset/qaf/iArial_28 size96.jpg,qaf
dataset/qaf/iArial_28 size97.jpg,qaf
dataset/qaf/iArial_29 size91.jpg,qaf
dataset/qaf/iArial_29 size92.jpg,qaf
dataset/qaf/iArial_29 size93.jpg,qaf
dataset/qaf/iArial_29 size94.jpg,qaf
dataset/qaf/iArial_30 size84.jpg,qaf
dataset/qaf/iArial_30 size85.jpg,qaf
dataset/qaf/iArial_30 size86.jpg,qaf
dataset/qaf/iArial_30 size87.jpg,qaf
dataset/qaf/iArial_31 size76.jpg,qaf
dataset/qaf/iArial_31 size77.jpg,qaf
dataset/qaf/iArial_31 size78.jpg,qaf
dataset/qaf/iArial_31 size79.jpg,qaf
dataset/qaf/iArial_32 size75.jpg,qaf
dataset/qaf/iArial_32 size76.jpg,qaf
dataset/qaf/iArial_32 size77.jpg,qaf
dataset/qaf/iArial_32 size78.jpg,qaf
dataset/qaf/iArial_33 size61.jpg,qaf
dataset/qaf/iArial_33 size62.jpg,qaf
dataset/qaf/iArial_33 size90.jpg,qaf
dataset/qaf/iArial_33 size91.jpg,qaf
dataset/qaf/iArial_34 size85.jpg,qaf
dataset/qaf/iArial_34 size86.jpg,qaf
dataset/qaf/iArial_34 size87.jpg,qaf
dataset/qaf/iArial_34 size88.jpg,qaf
dataset/qaf/iArial_35 size86.jpg,qaf
dataset/qaf/iArial_35 size87.jpg,qaf
dataset/qaf/iArial_35 size88.jpg,qaf
dataset/qaf/iArial_35 size89.jpg,qaf
dataset/qaf/iArial_36 size70.jpg,qaf
dataset/qaf/iArial_36 size71.jpg,qaf
dataset/qaf/iArial_36 size72.jpg,qaf
dataset/qaf/iArial_36 size73.jpg,qaf
dataset/qaf/iArial_37 size68.jpg,qaf
dataset/qaf/iArial_37 size69.jpg,qaf
dataset/qaf/iArial_37 size70.jpg,qaf
dataset/qaf/iArial_37 size71.jpg,qaf
dataset/qaf/iArial_38 size68.jpg,qaf
dataset/qaf/iArial_38 size69.jpg,qaf
dataset/qaf/iArial_38 size70.jpg,qaf
dataset/qaf/iArial_38 size94.jpg,qaf
dataset/qaf/iArial_39 size88.jpg,qaf
dataset/qaf/iArial_39 size89.jpg,qaf
dataset/qaf/iArial_39 size90.jpg,qaf
dataset/qaf/iArial_39 size91.jpg,qaf
dataset/qaf/iArial_40 size84.jpg,qaf
dataset/qaf/iArial_40 size85.jpg,qaf
dataset/qaf/iArial_40 size86.jpg,qaf
dataset/qaf/iArial_40 size87.jpg,qaf
dataset/qaf/iCalibri_12 size56.jpg,qaf
dataset/qaf/iCalibri_12 size57.jpg,qaf
dataset/qaf/iCalibri_12 size59.jpg,qaf
dataset/qaf/iCalibri_13 size115.jpg,qaf
dataset/qaf/iCalibri_13 size116.jpg,qaf
dataset/qaf/iCalibri_13 size46.jpg,qaf
dataset/qaf/iCalibri_13 size47.jpg,qaf
dataset/qaf/iCalibri_13 size48.jpg,qaf
dataset/qaf/iCalibri_13 size50.jpg,qaf
dataset/qaf/iCalibri_14 size109.jpg,qaf
dataset/qaf/iCalibri_14 size111.jpg,qaf
dataset/qaf/iCalibri_14 size112.jpg,qaf
dataset/qaf/iCalibri_15 size96.jpg,qaf
dataset/qaf/iCalibri_15 size97.jpg,qaf
dataset/qaf/iCalibri_15 size98.jpg,qaf
dataset/qaf/iCalibri_15 size99.jpg,qaf
dataset/qaf/iCalibri_16 size87.jpg,qaf
dataset/qaf/iCalibri_16 size88.jpg,qaf
dataset/qaf/iCalibri_16 size89.jpg,qaf
dataset/qaf/iCalibri_16 size90.jpg,qaf
dataset/qaf/iCalibri_17 size74.jpg,qaf
dataset/qaf/iCalibri_17 size75.jpg,qaf
dataset/qaf/iCalibri_17 size76.jpg,qaf
dataset/qaf/iCalibri_17 size77.jpg,qaf
dataset/qaf/iCalibri_18 size65.jpg,qaf
dataset/qaf/iCalibri_18 size66.jpg,qaf
dataset/qaf/iCalibri_18 size67.jpg,qaf
dataset/qaf/iCalibri_18 size68.jpg,qaf
dataset/qaf/iCalibri_19 size116.jpg,qaf
dataset/qaf/iCalibri_19 size58.jpg,qaf
dataset/qaf/iCalibri_19 size59.jpg,qaf
dataset/qaf/iCalibri_19 size60.jpg,qaf
